样本  0: 输出=(1444462170.00, -1667237270.00), 预测=0, 标签=0 ?
样本  1: 输出=(1469232113.00, -1759080871.00), 预测=0, 标签=0 ?
样本  2: 输出=(1650508661.00, -1890703041.00), 预测=0, 标签=0 ?
样本  3: 输出=(1409944723.00, -1677410995.00), 预测=0, 标签=0 ?
样本  4: 输出=(1571991503.00, -1733663938.00), 预测=0, 标签=0 ?
样本  5: 输出=(1547618184.00, -1724794426.00), 预测=0, 标签=0 ?
样本  6: 输出=(1308728999.00, -1544385753.00), 预测=0, 标签=0 ?
样本  7: 输出=(1392416229.00, -1552596206.00), 预测=0, 标签=0 ?
样本  8: 输出=(1345813074.00, -1648566711.00), 预测=0, 标签=0 ?
样本  9: 输出=(1409120761.00, -1631051596.00), 预测=0, 标签=0 ?
样本 10: 输出=(1576111914.00, -1809537786.00), 预测=0, 标签=0 ?
样本 11: 输出=(1346501803.00, -1508694447.00), 预测=0, 标签=0 ?
样本 12: 输出=(1583276338.00, -1790424102.00), 预测=0, 标签=0 ?
样本 13: 输出=(1683771407.00, -1887788497.00), 预测=0, 标签=0 ?
样本 14: 输出=(1877090694.00, -2042466030.00), 预测=0, 标签=0 ?
样本 15: 输出=(1525498642.00, -1769479691.00), 预测=0, 标签=0 ?
样本 16: 输出=(1626618656.00, -1895719745.00), 预测=0, 标签=0 ?
样本 17: 输出=(1694024844.00, -1970131098.00), 预测=0, 标签=0 ?
样本 18: 输出=(1550032376.00, -1768286505.00), 预测=0, 标签=0 ?
样本 19: 输出=(1570204353.00, -1845363423.00), 预测=0, 标签=0 ?
样本 20: 输出=(1771824536.00, -1998642230.00), 预测=0, 标签=0 ?
样本 21: 输出=(451347619.00, -1115706902.00), 预测=0, 标签=1 ?
样本 22: 输出=(-10458527113.00, 7442435501.00), 预测=1, 标签=1 ?
样本 23: 输出=(410238560.00, -1099451693.00), 预测=0, 标签=1 ?
样本 24: 输出=(-15554165557.00, 7943175678.00), 预测=1, 标签=1 ?
样本 25: 输出=(80025872.00, -536427238.00), 预测=0, 标签=1 ?
样本 26: 输出=(-13532845588.00, 10603574367.00), 预测=1, 标签=1 ?
样本 27: 输出=(-10026571289.00, 4755315291.00), 预测=1, 标签=1 ?
样本 28: 输出=(-7697244005.00, 4959812848.00), 预测=1, 标签=1 ?
样本 29: 输出=(-16001144512.00, 9076317930.00), 预测=1, 标签=1 ?
样本 30: 输出=(-8437074847.00, 5707878559.00), 预测=1, 标签=1 ?
样本 31: 输出=(-17379948761.00, 9702209318.00), 预测=1, 标签=1 ?
样本 32: 输出=(-6714706417.00, 3603284843.00), 预测=1, 标签=1 ?
样本 33: 输出=(-15008700535.00, 8066342833.00), 预测=1, 标签=1 ?
样本 34: 输出=(-1976314163.00, 1343936854.00), 预测=1, 标签=1 ?
样本 35: 输出=(-11008295357.00, 5650434526.00), 预测=1, 标签=1 ?
样本 36: 输出=(-11064766346.00, 6531871314.00), 预测=1, 标签=1 ?
样本 37: 输出=(-11386400283.00, 9296874121.00), 预测=1, 标签=1 ?
样本 38: 输出=(-16575304408.00, 10143368134.00), 预测=1, 标签=1 ?
样本 39: 输出=(-11600235775.00, 7991978642.00), 预测=1, 标签=1 ?
样本 40: 输出=(210651055.00, -613166871.00), 预测=0, 标签=1 ?
样本 41: 输出=(685760225.00, -1419390016.00), 预测=0, 标签=1 ?
准确率: 37/42 = 88.10%
